config,score,N,buffer,gate,donchian,cagr,net20,maxdd,sharpe,sortino,calmar,net_calmar,fills,donch_exits,gate_derisk,avg_turn,cost_pct
rsblend_N5_buf26_g100_d15,rsblend,5,26,100,15,34.4,29.5,-20.6,1.65,1.96,1.68,1.44,110,282,22,0.313,363.6
rsblend_N5_buf26_g100_d20,rsblend,5,26,100,20,33.2,28.3,-23.7,1.55,1.82,1.4,1.2,110,214,23,0.269,310.9
rsblend_N5_buf26_g100_d30,rsblend,5,26,100,30,36.0,30.6,-21.9,1.61,1.94,1.64,1.39,109,144,23,0.211,356.2
rsblend_N5_buf26_g200_d0,rsblend,5,26,200,0,33.9,28.4,-44.3,1.3,1.63,0.76,0.64,118,0,18,0.118,155.7
rsblend_N5_buf26_g200_d15,rsblend,5,26,200,15,31.6,26.5,-29.6,1.48,1.81,1.07,0.89,121,324,18,0.317,313.4
rsblend_N5_buf26_g200_d20,rsblend,5,26,200,20,30.5,25.6,-34.5,1.38,1.68,0.89,0.74,119,251,18,0.267,251.9
rsblend_N5_buf26_g200_d30,rsblend,5,26,200,30,34.6,29.3,-30.9,1.49,1.88,1.12,0.95,118,168,18,0.208,292.3
rsblend_N8_buf18_g0_d0,rsblend,8,18,0,0,34.2,30.6,-45.0,1.21,1.53,0.76,0.68,147,0,0,0.086,137.1
rsblend_N8_buf18_g0_d15,rsblend,8,18,0,15,33.3,28.6,-38.3,1.51,1.93,0.87,0.75,147,685,0,0.304,354.4
rsblend_N8_buf18_g0_d20,rsblend,8,18,0,20,31.6,27.1,-43.7,1.39,1.8,0.72,0.62,147,560,0,0.255,256.7
