,mq,kc6,combined
2024-06-28,12155008.88447802,4998296.13706338,17153305.0215414
2024-07-01,12210183.584479908,4999254.714404735,17209438.29888464
2024-07-02,12214399.684480533,4999461.443476112,17213861.127956644
2024-07-03,12323694.124481168,4996536.220633765,17320230.34511493
2024-07-04,12353014.654481798,4998236.413313065,17351251.067794863
2024-07-05,12414915.554482426,4988968.3215457555,17403883.87602818
2024-07-08,12401677.21448432,4985820.9720071405,17387498.18649146
2024-07-09,12467187.294484949,5013129.942806106,17480317.237291053
2024-07-10,12393469.624485577,5005841.938180116,17399311.562665693
2024-07-11,12426513.36448621,4996917.818563827,17423431.183050036
2024-07-12,12382855.45448684,4988326.568622784,17371182.023109622
2024-07-15,12471880.594488734,5008927.043531384,17480807.63802012
2024-07-16,12513431.204489363,5032146.14768732,17545577.35217668
2024-07-18,12491540.284490626,5031597.370807299,17523137.655297928
2024-07-19,12163949.354491256,4988074.300361277,17152023.65485253
2024-07-22,12233499.484493153,5029248.358181069,17262747.84267422
2024-07-23,12245443.244493784,5000324.881397474,17245768.125891257
2024-07-24,12259191.14449442,5019858.230952437,17279049.375446856
2024-07-25,12273162.714495052,5025353.035014354,17298515.749509405
2024-07-26,12485823.324495682,5043711.077375848,17529534.401871532
2024-07-29,12532782.52449758,5042297.093316996,17575079.617814574
2024-07-30,12523384.344498212,5043147.217715714,17566531.562213928
2024-07-31,12585396.464498846,5042357.40923692,17627753.873735767
2024-08-01,12529123.984499479,5045870.367912664,17574994.35241214
2024-08-02,12303571.304500112,5041106.2973401,17344677.601840213
2024-08-05,11939632.31450201,5015189.609114971,16954821.923616983
2024-08-06,11829926.824502649,4967985.106690352,16797911.931193
2024-08-07,12058515.351503352,5018058.342704786,17076573.694208138
2024-08-08,12002983.461503986,5000746.3631994575,17003729.824703444
2024-08-09,12080841.611504618,5002804.040473748,17083645.651978366
2024-08-12,12058590.921506524,5009425.659832219,17068016.58133874
2024-08-13,12087169.171507156,4986065.895790663,17073235.067297816
2024-08-14,12000948.331507789,4987963.062619992,16988911.39412778
2024-08-16,12199194.821509056,4996405.376816933,17195600.198325988
2024-08-19,12261619.981510965,4989698.088409748,17251318.06992071
2024-08-20,12272200.481511595,5006540.381785126,17278740.86329672
2024-08-21,12424521.251512235,5007982.673125469,17432503.924637705
2024-08-22,12481621.841512872,5010548.680463637,17492170.52197651
2024-08-23,12492926.351513507,5011509.607607836,17504435.959121343
2024-08-26,12585961.69151541,5012470.719039432,17598432.41055484
2024-08-27,12547990.591516048,5013432.0147937685,17561422.606309816
2024-08-28,12505648.221516684,5013639.330124561,17519287.551641244
2024-08-29,12481242.581517318,5019726.335982393,17500968.91749971
2024-08-30,12526903.861517955,5049269.973135789,17576173.834653743
2024-09-02,12515433.881519862,5050238.326281322,17565672.207801186
2024-09-03,12487077.391520502,5051206.865138417,17538284.25665892
2024-09-04,12510237.711521138,5052175.58974269,17562413.301263828
2024-09-05,12518146.951521775,5053144.500129765,17571291.45165154
2024-09-06,12440110.251522414,5051073.727476088,17491183.978998505
2024-09-09,12424120.301524322,5031415.20744069,17455535.50896501
2024-09-10,12535478.581524959,5046734.136280038,17582212.717805
2024-09-11,12503420.141525596,5005432.53112587,17508852.672651466
2024-09-12,12707775.531526236,5062496.15021679,17770271.681743026
2024-09-13,12690325.951526875,5044516.202443551,17734842.153970428
2024-09-16,12720116.561528785,5029523.744531691,17749640.306060478
2024-09-17,12722541.231529424,5002291.398081327,17724832.62961075
2024-09-18,12605918.011530062,5010200.397534526,17616118.409064587
2024-09-19,12564106.601530697,4986596.193722892,17550702.79525359
2024-09-20,12698038.751535812,5023498.495188777,17721537.24672459
2024-09-23,12750342.551537732,5055103.092819129,17805445.64435686
2024-09-24,12815007.551538369,5049241.731919122,17864249.28345749
2024-09-25,12792539.331539007,5045083.193724468,17837622.525263473
2024-09-26,12838599.521539647,5048534.812935594,17887134.33447524
2024-09-27,12856545.411540287,5064049.88067907,17920595.292219356
2024-09-30,12824697.871542206,5057498.579505502,17882196.451047707
2024-10-01,12844229.801542845,5056516.646005681,17900746.447548524
2024-10-03,12645068.861544125,5036997.799745701,17682066.661289826
2024-10-04,12539714.821544763,5023257.4775026385,17562972.299047403
2024-10-07,12381228.881546684,4950491.246540998,17331720.12808768
2024-10-08,12553857.131547324,4921333.399283734,17475190.530831058
2024-10-09,12608009.421547966,4957732.31899213,17565741.740540095
2024-10-10,12557257.191548606,4965084.885879424,17522342.07742803
2024-10-11,12565442.071549252,4965205.085109593,17530647.156658843
2024-10-14,12576030.07155117,4967125.743929771,17543155.81548094
2024-10-15,12557501.561551811,4968078.343387511,17525579.904939324
